"cod_seccion","razon_tasa_envejecimiento"
"S03000",0.79943158971233442511
"S07209",1.14307104847435500161
"S02406",1.07506110003109151359
"S07028",1.09830719109965734726
"S03101",0.96409713200291215967
"S05095",1.46177606665736509301
"S03706",1.11484197448256437144
"S06805",1.43563876295226726649
"S02422",0.97204382334797641383
"S04807",0.76785260106794403946
"S06150",1.00634957854758513508
"S07504",1.42610642454313718570
"S09704",0.87929862618954923242
"S06909",1.02104722771605481745
"S04400",0.72732449098552111852
"S03113",1.01630561679041394381
"S05015",1.08799664710889699182
"S08516",1.06268671538861592111
"S04421",0.77893740755818645869
"S04721",1.04397040915865978967
"S01617",0.80701063976963752563
"S01306",0.82912176921074866743
"S06038",1.22117217529743619195
"S01814",1.24260285187265077789
"S02204",0.90160599130394405406
"S01014",1.09618198250993059689
"S04903",1.06585891453902970000
"S02907",0.80050131617501510691
"S07900",1.16006616219597963311
"S03717",1.32742548951423852355
"S08226",0.48990486388122524507
"S09012",0.92643697058048535230
"S04614",0.88887210568326047392
"S02505",1.13994863099943299427
"S03908",1.02926647170670734366
"S02405",1.23448550090289153408
"S09177",0.80453825092445558703
"S08805",0.61918191496189902434
"S01810",1.10634344682353046917
"S01303",0.76764966990912563107
"S02309",1.16060756249835791550
"S01722",0.83759898075364852575
"S09010",0.87684886145236654036
"S05005",0.97137142164602941233
"S08312",0.78356367242647056939
"S05504",0.66336458198257874936
"S04089",1.06192629555649526571
"S01018",0.87095461257162240170
"S03737",1.43344445853571796155
